2.0,0.006
3.0,0.3
4.0,2.8529
5.0,4.6951
6.0,5.6427
7.0,6.6388
8.0,7.6338
9.0,8.6295
10.0,9.6253
11.0,10.6212
12.0,11.6170
13.0,12.613
14.0,13.610
15.0,14.606
16.0,15.602
16.1,15.704
16.2,15.804
16.3,15.901
16.4,15.905
16.5,15.889
16.6,15.874
16.7,15.857
16.8,15.838
16.9,15.819
17.0,15.806
17.1,15.777
17.2,15.753
17.3,15.729
17.4,15.704
17.5,15.678
17.6,15.650
17.7,15.620
17.8,15.589
17.9,15.557
18.0,15.538
18.1,15.486
18.2,15.451
18.3,15.412
18.4,15.371
18.5,15.328
18.6,15.282
18.7,15.229
18.8,15.173
18.9,15.120
19.0,15.078
19.1,14.981
19.2,14.903
19.3,14.815
19.4,14.713
19.5,11.380
